fips,county,state,trump,clinton
1131,Wilcox,Alabama,1742,4339
1105,Perry,Alabama,1407,3824
1037,Coosa,Alabama,3381,1782
1063,Greene,Alabama,838,4013
1011,Bullock,Alabama,1140,3530
2,At large,Alaska,163387,116454
4013,Maricopa,Arizona,747361,702907
4019,Pima,Arizona,167428,224661
4021,Pinal,Arizona,72819,47892
4025,Yavapai,Arizona,71330,35590
4015,Mohave,Arizona,58282,17455
4005,Coconino,Arizona,21108,32404
4027,Yuma,Arizona,25165,24605
4003,Cochise,Arizona,28092,17450
4017,Navajo,Arizona,20577,16459
4001,Apache,Arizona,8240,17083
4007,Gila,Arizona,14182,7003
4023,Santa Cruz,Arizona,3897,11690
4009,Graham,Arizona,8025,3301
4012,La Paz,Arizona,4003,1575
4011,Greenlee,Arizona,1892,1092
5119,Pulaski,Arkansas,61257,89574
5007,Benton,Arkansas,60871,28005
5143,Washington,Arkansas,41476,33366
5125,Saline,Arkansas,35863,13256
5045,Faulkner,Arkansas,29346,14629
5131,Sebastian,Arkansas,29127,12300
5051,Garland,Arkansas,26087,12311
5031,Craighead,Arkansas,22892,10538
5145,White,Arkansas,21077,5170
5085,Lonoke,Arkansas,19958,5664
5069,Jefferson,Arkansas,9250,15772
5115,Pope,Arkansas,16256,5000
5033,Crawford,Arkansas,16686,4488
5005,Baxter,Arkansas,14682,4169
5139,Union,Arkansas,10456,5855
5009,Boone,Arkansas,12235,2926
5091,Miller,Arkansas,11294,4273
5035,Crittenden,Arkansas,6964,8410
5055,Greene,Arkansas,10720,3071
5063,Independence,Arkansas,9936,2881
5093,Mississippi,Arkansas,7061,5670
5023,Cleburne,Arkansas,9458,2101
5059,Hot Spring,Arkansas,8172,3149
5015,Carroll,Arkansas,6786,3342
5103,Ouachita,Arkansas,5351,4321
5071,Johnson,Arkansas,6091,2427
5027,Columbia,Arkansas,5456,3140
5019,Clark,Arkansas,4404,3620
5113,Polk,Arkansas,6618,1212
5003,Ashley,Arkansas,5338,2408
5029,Conway,Arkansas,4849,2656
5083,Logan,Arkansas,5746,1715
5111,Poinsett,Arkansas,5502,1880
5053,Grant,Arkansas,5725,1373
5123,St. Francis,Arkansas,3195,4031
5141,Van Buren,Arkansas,5382,1549
5135,Sharp,Arkansas,5407,1472
5089,Marion,Arkansas,5336,1434
5057,Hempstead,Arkansas,4401,2377
5107,Phillips,Arkansas,2446,4310
5037,Cross,Arkansas,4584,1999
5087,Madison,Arkansas,4928,1588
5047,Franklin,Arkansas,5039,1376
5043,Drew,Arkansas,3968,2365
5149,Yell,Arkansas,4608,1480
5121,Randolph,Arkansas,4509,1425
5001,Arkansas,Arkansas,3826,1939
5075,Lawrence,Arkansas,4064,1263
5137,Stone,Arkansas,4113,1203
5065,Izard,Arkansas,4042,1113
5081,Little River,Arkansas,3605,1397
5021,Clay,Arkansas,3781,1199
5067,Jackson,Arkansas,3267,1583
5049,Fulton,Arkansas,3471,1067
5061,Howard,Arkansas,3157,1351
5133,Sevier,Arkansas,3282,1075
5105,Perry,Arkansas,3008,1049
5041,Desha,Arkansas,1919,2228
5017,Chicot,Arkansas,1716,2350
5109,Pike,Arkansas,3150,685
5079,Lincoln,Arkansas,2455,1252
5101,Newton,Arkansas,2875,699
5129,Searcy,Arkansas,2955,601
5011,Bradley,Arkansas,2164,1317
5097,Montgomery,Arkansas,2643,748
5127,Scott,Arkansas,2731,602
5117,Prairie,Arkansas,2505,814
5025,Cleveland,Arkansas,2462,723
5099,Nevada,Arkansas,2000,1157
5077,Lee,Arkansas,1229,1735
5095,Monroe,Arkansas,1489,1312
5073,Lafayette,Arkansas,1758,1032
5039,Dallas,Arkansas,1509,1165
5147,Woodruff,Arkansas,1347,1118
5013,Calhoun,Arkansas,1556,639
6037,Los Angeles,California,769743,2464364
6073,San Diego,California,477766,735476
6059,Orange,California,507148,609961
6065,Riverside,California,333243,373695
6085,Santa Clara,California,144826,511684
6001,Alameda,California,95922,514842
6071,San Bernardino,California,271240,340833
6067,Sacramento,California,189789,326023
6013,Contra Costa,California,115956,319287
6075,San Francisco,California,37688,345084
6111,Ventura,California,132323,194402
6081,San Mateo,California,57929,237882
6019,Fresno,California,124049,141341
6029,Kern,California,129584,98689
6097,Sonoma,California,51408,160435
6077,San Joaquin,California,88936,121124
6061,Placer,California,95138,73509
6083,Santa Barbara,California,56365,107142
6099,Stanislaus,California,78494,81647
6095,Solano,California,51920,102360
6041,Marin,California,21771,108707
6079,San Luis Obispo,California,56164,67107
6053,Monterey,California,34895,89088
6087,Santa Cruz,California,22438,95249
6107,Tulare,California,58299,47585
6007,Butte,California,45144,41567
6017,El Dorado,California,49247,36404
6113,Yolo,California,20739,54752
6089,Shasta,California,51778,22301
6047,Merced,California,28725,37317
6055,Napa,California,17411,39199
6023,Humboldt,California,18373,33200
6057,Nevada,California,23365,26053
6025,Imperial,California,12704,32667
6039,Madera,California,23357,17029
6045,Mendocino,California,10888,22079
6031,Kings,California,18093,13617
6101,Sutter,California,18176,13076
6109,Tuolumne,California,14551,9123
6033,Lake,California,10599,11496
6103,Tehama,California,15494,6809
6009,Calaveras,California,13511,7944
6115,Yuba,California,13170,7910
6069,San Benito,California,7841,12521
6093,Siskiyou,California,11341,7234
6005,Amador,California,10485,6004
6035,Lassen,California,7574,2224
6063,Plumas,California,5420,3459
6015,Del Norte,California,5134,3485
6021,Glenn,California,5788,3065
6043,Mariposa,California,5185,3122
6027,Inyo,California,4248,3155
6011,Colusa,California,3551,2661
6105,Trinity,California,2812,2214
6051,Mono,California,2111,2773
6049,Modoc,California,2696,877
6091,Sierra,California,1048,601
6003,Alpine,California,217,334
8031,Denver,Colorado,62690,244551
8059,Jefferson,Colorado,138177,160776
8041,El Paso,Colorado,179228,108010
8005,Arapahoe,Colorado,117053,159885
8069,Larimer,Colorado,83430,93113
8001,Adams,Colorado,80082,96558
8013,Boulder,Colorado,41396,132334
8035,Douglas,Colorado,102573,68657
8123,Weld,Colorado,76651,46519
8101,Pueblo,Colorado,36265,35875
8077,Mesa,Colorado,49779,21729
8014,Broomfield,Colorado,14367,19731
8067,La Plata,Colorado,12587,15525
8045,Garfield,Colorado,13132,11271
8037,Eagle,Colorado,8990,14099
8043,Fremont,Colorado,15122,5297
8085,Montrose,Colorado,14382,5466
8029,Delta,Colorado,11655,4087
8117,Summit,Colorado,5100,9557
8039,Elbert,Colorado,11705,3134
8119,Teller,Colorado,9745,3603
8107,Routt,Colorado,5230,7600
8083,Montezuma,Colorado,7853,3973
8087,Morgan,Colorado,8145,3151
8015,Chaffee,Colorado,5391,4888
8097,Pitkin,Colorado,2550,7333
8093,Park,Colorado,6135,3421
8075,Logan,Colorado,7282,1851
8051,Gunnison,Colorado,3289,5128
8049,Grand,Colorado,4494,3358
8089,Otero,Colorado,4928,2943
8007,Archuleta,Colorado,4264,2500
8003,Alamosa,Colorado,3046,3189
8071,Las Animas,Colorado,3710,2650
8081,Moffat,Colorado,5305,874
8019,Clear Creek,Colorado,2575,2729
8105,Rio Grande,Colorado,3085,2001
8099,Prowers,Colorado,3531,1186
8125,Yuma,Colorado,3850,726
8113,San Miguel,Colorado,1033,2975
8021,Conejos,Colorado,1914,1771
8055,Huerfano,Colorado,1883,1633
8063,Kit Carson,Colorado,2967,536
8047,Gilpin,Colorado,1566,1634
8103,Rio Blanco,Colorado,2791,436
8091,Ouray,Colorado,1351,1697
8065,Lake,Colorado,1270,1616
8027,Custer,Colorado,2061,797
8109,Saguache,Colorado,1147,1417
8121,Washington,Colorado,2299,296
8073,Lincoln,Colorado,1892,409
8095,Phillips,Colorado,1791,436
8009,Baca,Colorado,1753,283
8011,Bent,Colorado,1188,590
8023,Costilla,Colorado,588,1125
8025,Crowley,Colorado,1079,339
8115,Sedgwick,Colorado,1015,267
8033,Dolores,Colorado,944,242
8017,Cheyenne,Colorado,925,132
8057,Jackson,Colorado,629,171
8061,Kiowa,Colorado,728,91
8079,Mineral,Colorado,344,237
8053,Hinsdale,Colorado,339,197
8111,San Juan,Colorado,215,265
9001,Fairfield,Connecticut,155457,238723
9003,Hartford,Connecticut,147912,233789
9005,Litchfield,Connecticut,53376,39836
9007,Middlesex,Connecticut,38847,45306
9009,New Haven,Connecticut,158373,203601
9011,New London,Connecticut,54574,62951
9013,Tolland,Connecticut,33989,38450
9015,Windham,Connecticut,25738,21776
10003,New Castle,Delaware,85525,162919
10005,Sussex,Delaware,62611,39333
10001,Kent,Delaware,36991,33351
11001,District of Columbia,District of Columbia,12723,282830
12086,Miami-Dade,Florida,333999,624146
12011,Broward,Florida,260951,553320
12099,Palm Beach,Florida,272402,374673
12057,Hillsborough,Florida,266870,307896
12095,Orange,Florida,195216,329894
12103,Pinellas,Florida,239201,233701
12031,Duval,Florida,211672,205704
12071,Lee,Florida,191551,124908
12009,Brevard,Florida,181848,119679
12105,Polk,Florida,157430,117433
12127,Volusia,Florida,143007,109091
12101,Pasco,Florida,142101,90142
12115,Sarasota,Florida,124438,97870
12117,Seminole,Florida,109443,105914
12081,Manatee,Florida,101944,71224
12083,Marion,Florida,107833,62041
12021,Collier,Florida,105423,61085
12069,Lake,Florida,102188,62838
12033,Escambia,Florida,88808,57461
12073,Leon,Florida,53821,92068
12111,St. Lucie,Florida,70289,66881
12097,Osceola,Florida,50301,85458
12109,St. Johns,Florida,88684,43099
12001,Alachua,Florida,46834,75820
12019,Clay,Florida,74963,27822
12091,Okaloosa,Florida,71893,23780
12015,Charlotte,Florida,60218,33445
12053,Hernando,Florida,58970,31795
12113,Santa Rosa,Florida,65339,18464
12005,Bay,Florida,62194,21797
12085,Martin,Florida,53204,30185
12061,Indian River,Florida,48620,29043
12017,Citrus,Florida,54456,22789
12119,Sumter,Florida,52730,22638
12035,Flagler,Florida,33850,22026
12089,Nassau,Florida,34266,10869
12055,Highlands,Florida,29565,14937
12087,Monroe,Florida,21904,18971
12131,Walton,Florida,25756,6876
12107,Putnam,Florida,22138,10094
12023,Columbia,Florida,20368,7601
12039,Gadsden,Florida,6728,15020
12063,Jackson,Florida,14257,6397
12075,Levy,Florida,13775,5101
12121,Suwannee,Florida,14287,3964
12129,Wakulla,Florida,10512,4348
12093,Okeechobee,Florida,9356,3959
12003,Baker,Florida,10294,2112
12007,Bradford,Florida,8913,2924
12133,Washington,Florida,8637,2264
12051,Hendry,Florida,6195,4615
12027,DeSoto,Florida,6778,3781
12123,Taylor,Florida,6930,2152
12059,Holmes,Florida,7483,853
12079,Madison,Florida,4851,3526
12041,Gilchrist,Florida,6740,1458
12065,Jefferson,Florida,3930,3541
12049,Hardee,Florida,5242,2149
12045,Gulf,Florida,5329,1720
12029,Dixie,Florida,5822,1270
12013,Calhoun,Florida,4655,1241
12037,Franklin,Florida,4125,1744
12125,Union,Florida,4568,1014
12047,Hamilton,Florida,3443,1904
12043,Glades,Florida,2996,1271
12067,Lafayette,Florida,2809,518
12077,Liberty,Florida,2543,651
13121,Fulton,Georgia,117783,297051
13067,Cobb,Georgia,152912,160121
13135,Gwinnett,Georgia,146989,166153
13089,DeKalb,Georgia,51468,251370
13051,Chatham,Georgia,45688,62290
13057,Cherokee,Georgia,80649,25231
13151,Henry,Georgia,45724,50057
13117,Forsyth,Georgia,69851,23462
13063,Clayton,Georgia,12645,78220
13245,Richmond,Georgia,24461,48814
13139,Hall,Georgia,51733,16180
13215,Muscogee,Georgia,26976,39851
13223,Paulding,Georgia,44662,18025
13073,Columbia,Georgia,43085,18887
13021,Bibb,Georgia,24043,36787
13077,Coweta,Georgia,42533,16583
13113,Fayette,Georgia,35048,23284
13153,Houston,Georgia,35430,22553
13097,Douglas,Georgia,24817,31005
13059,Clarke,Georgia,12717,29603
13045,Carroll,Georgia,30029,12464
13217,Newton,Georgia,20913,21943
13297,Walton,Georgia,31125,8292
13015,Bartow,Georgia,29911,8212
13247,Rockdale,Georgia,13478,23255
13185,Lowndes,Georgia,21635,15064
13115,Floyd,Georgia,24114,9159
13127,Glynn,Georgia,21512,11775
13095,Dougherty,Georgia,10232,23311
13313,Whitfield,Georgia,21537,7937
13013,Barrow,Georgia,21108,6580
13157,Jackson,Georgia,21784,4491
13047,Catoosa,Georgia,20876,4771
13285,Troup,Georgia,15750,9713
13255,Spalding,Georgia,15646,9357
13031,Bulloch,Georgia,15097,9261
13295,Walker,Georgia,18950,4215
13103,Effingham,Georgia,17874,4853
13219,Oconee,Georgia,13425,5581
13175,Laurens,Georgia,12411,6752
13039,Camden,Georgia,12310,5930
13129,Gordon,Georgia,15191,3181
13275,Thomas,Georgia,11228,7142
13145,Harris,Georgia,11936,4086
13137,Habersham,Georgia,13190,2483
13179,Liberty,Georgia,6134,9556
13009,Baldwin,Georgia,7697,7970
13029,Bryan,Georgia,10529,4014
13277,Tift,Georgia,9584,4347
13233,Polk,Georgia,11014,2867
13177,Lee,Georgia,10646,3170
13227,Pickens,Georgia,11651,1979
13069,Coffee,Georgia,9588,4094
13071,Colquitt,Georgia,9898,3463
13123,Gilmer,Georgia,10477,1965
13207,Monroe,Georgia,8832,3571
13169,Jones,Georgia,8305,3961
13187,Lumpkin,Georgia,9619,2220
13213,Murray,Georgia,10341,1800
13299,Ware,Georgia,8513,3440
13195,Madison,Georgia,9201,2425
13291,Union,Georgia,9852,1963
13311,White,Georgia,9761,1674
13111,Fannin,Georgia,9632,1923
13085,Dawson,Georgia,9900,1448
13143,Haralson,Georgia,9585,1475
13261,Sumter,Georgia,5276,5520
13293,Upson,Georgia,7292,3475
13225,Peach,Georgia,5413,5100
13305,Wayne,Georgia,8153,2041
13087,Decatur,Georgia,6020,4124
13147,Hart,Georgia,7286,2585
13257,Stephens,Georgia,7686,1837
13035,Butts,Georgia,6717,2566
13237,Putnam,Georgia,6544,2758
13211,Morgan,Georgia,6559,2663
13033,Burke,Georgia,4491,4731
13189,McDuffie,Georgia,5432,3699
13199,Meriwether,Georgia,5222,3804
13131,Grady,Georgia,6053,3013
13279,Toombs,Georgia,6615,2338
13133,Greene,Georgia,5490,3199
13231,Pike,Georgia,7278,1240
13119,Franklin,Georgia,7054,1243
13303,Washington,Georgia,4149,4200
13321,Worth,Georgia,6152,2020
13055,Chattooga,Georgia,6462,1613
13241,Rabun,Georgia,6287,1444
13105,Elbert,Georgia,5292,2539
13205,Mitchell,Georgia,4279,3493
13107,Emanuel,Georgia,5335,2435
13171,Lamar,Georgia,5190,2270
13081,Crisp,Georgia,4549,2837
13229,Pierce,Georgia,6302,903
13001,Appling,Georgia,5494,1434
13091,Dodge,Georgia,5021,1839
13011,Banks,Georgia,6134,684
13163,Jefferson,Georgia,3063,3821
13267,Tattnall,Georgia,5096,1681
13281,Towns,Georgia,5383,1210
13221,Oglethorpe,Georgia,4625,1831
13019,Berrien,Georgia,5422,1047
13027,Brooks,Georgia,3701,2528
13025,Brantley,Georgia,5567,619
13083,Dade,Georgia,5051,965
13075,Cook,Georgia,4176,1753
13159,Jasper,Georgia,4360,1544
13017,Ben Hill,Georgia,3739,2101
13191,McIntosh,Georgia,3487,2303
13251,Screven,Georgia,3305,2300
13079,Crawford,Georgia,3635,1421
13161,Jeff Davis,Georgia,4104,901
13023,Bleckley,Georgia,3719,1101
13099,Early,Georgia,2552,2168
13317,Wilkes,Georgia,2572,1848
13193,Macon,Georgia,1540,2705
13319,Wilkinson,Georgia,2333,1894
13149,Heard,Georgia,3370,743
13273,Terrell,Georgia,1874,2267
13183,Long,Georgia,2626,1360
13181,Lincoln,Georgia,2759,1273
13289,Twiggs,Georgia,2035,1971
13005,Bacon,Georgia,3364,608
13049,Charlton,Georgia,2951,1004
13093,Dooly,Georgia,1951,1872
13271,Telfair,Georgia,2450,1313
13043,Candler,Georgia,2664,1026
13167,Johnson,Georgia,2519,1136
13155,Irwin,Georgia,2716,891
13109,Evans,Georgia,2404,1130
13235,Pulaski,Georgia,2437,1104
13253,Seminole,Georgia,2345,1189
13141,Hancock,Georgia,843,2701
13209,Montgomery,Georgia,2670,847
13269,Taylor,Georgia,2064,1296
13287,Turner,Georgia,2095,1246
13263,Talbot,Georgia,1196,2002
13197,Marion,Georgia,1921,1213
13165,Jenkins,Georgia,1895,1123
13315,Wilcox,Georgia,2096,852
13243,Randolph,Georgia,1271,1598
13173,Lanier,Georgia,1984,806
13283,Treutlen,Georgia,1809,862
13003,Atkinson,Georgia,1878,697
13201,Miller,Georgia,1891,623
13065,Clinch,Georgia,1727,686
13301,Warren,Georgia,991,1314
13309,Wheeler,Georgia,1421,646
13259,Stewart,Georgia,805,1222
13037,Calhoun,Georgia,830,1179
13249,Schley,Georgia,1472,401
13007,Baker,Georgia,775,650
13053,Chattahoochee,Georgia,751,594
13125,Glascock,Georgia,1235,138
13061,Clay,Georgia,566,697
13101,Echols,Georgia,1007,156
13307,Webster,Georgia,630,473
13239,Quitman,Georgia,575,461
13265,Taliaferro,Georgia,349,545
15003,Honolulu,Hawaii,90326,175696
15001,Hawaii,Hawaii,17501,41259
15009,Maui,Hawaii,13446,33480
15007,Kauai,Hawaii,7574,16456
16001,Ada,Idaho,93752,75677
16027,Canyon,Idaho,47222,16883
16055,Kootenai,Idaho,44449,16264
16019,Bonneville,Idaho,26699,8930
16005,Bannock,Idaho,17180,10342
16083,Twin Falls,Idaho,19828,6233
16017,Bonner,Idaho,13343,5819
16057,Latah,Idaho,7265,8093
16069,Nez Perce,Idaho,10699,4828
16011,Bingham,Idaho,10907,2924
16065,Madison,Idaho,8941,1201
16051,Jefferson,Idaho,8436,976
16013,Blaine,Idaho,3340,6416
16075,Payette,Idaho,6489,1507
16039,Elmore,Idaho,5816,1814
16049,Idaho,Idaho,6441,1196
16031,Cassia,Idaho,5949,1036
16045,Gem,Idaho,5980,1229
16067,Minidoka,Idaho,4887,1167
16053,Jerome,Idaho,4644,1329
16043,Fremont,Idaho,4090,651
16041,Franklin,Idaho,3901,385
16085,Valley,Idaho,2906,1913
16047,Gooding,Idaho,3743,930
16021,Boundary,Idaho,3789,933
16079,Shoshone,Idaho,3297,1384
16081,Teton,Idaho,2167,2159
16087,Washington,Idaho,3283,776
16009,Benewah,Idaho,3103,770
16059,Lemhi,Idaho,3011,733
16073,Owyhee,Idaho,3052,591
16015,Boise,Idaho,2673,777
16035,Clearwater,Idaho,2852,704
16029,Caribou,Idaho,2275,271
16007,Bear Lake,Idaho,2203,255
16077,Power,Idaho,1666,699
16037,Custer,Idaho,1777,427
16003,Adams,Idaho,1556,415
16071,Oneida,Idaho,1531,184
16063,Lincoln,Idaho,1184,360
16061,Lewis,Idaho,1202,270
16023,Butte,Idaho,914,160
16025,Camas,Idaho,410,110
16033,Clark,Idaho,203,44
17031,Cook,Illinois,453287,1611946
17043,DuPage,Illinois,166415,228622
17197,Will,Illinois,132720,151927
17097,Lake,Illinois,109767,171095
17089,Kane,Illinois,82734,103665
17111,McHenry,Illinois,71612,60803
17119,Madison,Illinois,70490,50587
17163,St. Clair,Illinois,53857,60756
17201,Winnebago,Illinois,55624,55713
17167,Sangamon,Illinois,49944,40907
17019,Champaign,Illinois,33368,50137
17113,McLean,Illinois,37237,36196
17143,Peoria,Illinois,35633,38060
17179,Tazewell,Illinois,38707,20685
17161,Rock Island,Illinois,26998,32298
17093,Kendall,Illinois,24961,24884
17099,LaSalle,Illinois,26689,19543
17115,Macon,Illinois,26866,18343
17091,Kankakee,Illinois,25129,18971
17037,DeKalb,Illinois,19091,20466
17001,Adams,Illinois,22790,7676
17199,Williamson,Illinois,21570,8581
17183,Vermilion,Illinois,19087,10039
17195,Whiteside,Illinois,12615,11035
17077,Jackson,Illinois,10843,11634
17073,Henry,Illinois,13985,8871
17141,Ogle,Illinois,14352,8050
17063,Grundy,Illinois,13454,8065
17007,Boone,Illinois,12282,8986
17095,Knox,Illinois,10737,10083
17117,Macoupin,Illinois,14322,6689
17029,Coles,Illinois,13003,7309
17177,Stephenson,Illinois,11083,7768
17203,Woodford,Illinois,13207,5092
17133,Monroe,Illinois,12629,5535
17055,Franklin,Illinois,13116,4727
17049,Effingham,Illinois,13635,3083
17027,Clinton,Illinois,12412,3945
17121,Marion,Illinois,11859,4369
17081,Jefferson,Illinois,11695,4425
17011,Bureau,Illinois,9281,6029
17057,Fulton,Illinois,8492,6133
17103,Lee,Illinois,8612,5528
17021,Christian,Illinois,10543,3992
17105,Livingston,Illinois,10208,4023
17137,Morgan,Illinois,9076,4696
17157,Randolph,Illinois,10023,3439
17109,McDonough,Illinois,6795,5288
17075,Iroquois,Illinois,9750,2504
17135,Montgomery,Illinois,8630,3504
17107,Logan,Illinois,8181,3313
17165,Saline,Illinois,8276,2572
17085,Jo Daviess,Illinois,6121,4462
17173,Shelby,Illinois,8229,2288
17083,Jersey,Illinois,7748,2679
17145,Perry,Illinois,6855,2462
17051,Fayette,Illinois,7372,1819
17067,Hancock,Illinois,6430,2139
17147,Piatt,Illinois,5634,2645
17033,Crawford,Illinois,6277,1992
17181,Union,Illinois,5790,2402
17131,Mercer,Illinois,4807,3071
17191,Wayne,Illinois,6967,1048
17041,Douglas,Illinois,5698,1949
17023,Clark,Illinois,5622,1877
17045,Edgar,Illinois,5645,1793
17187,Warren,Illinois,4275,2987
17159,Richland,Illinois,5739,1584
17005,Bond,Illinois,4888,2068
17039,De Witt,Illinois,5077,1910
17149,Pike,Illinois,5754,1413
17015,Carroll,Illinois,4434,2447
17189,Washington,Illinois,5571,1448
17193,White,Illinois,5640,1412
17127,Massac,Illinois,4846,1558
17129,Menard,Illinois,4231,1817
17125,Mason,Illinois,4058,2014
17053,Ford,Illinois,4480,1414
17025,Clay,Illinois,5021,1020
17139,Moultrie,Illinois,4455,1481
17087,Johnson,Illinois,4649,1142
17101,Lawrence,Illinois,4521,1290
17123,Marshall,Illinois,3785,1789
17061,Greene,Illinois,4145,1205
17035,Cumberland,Illinois,4206,1031
17185,Wabash,Illinois,4047,1151
17017,Cass,Illinois,3216,1621
17079,Jasper,Illinois,3975,924
17065,Hamilton,Illinois,3206,802
17169,Schuyler,Illinois,2524,1075
17071,Henderson,Illinois,2155,1155
17047,Edwards,Illinois,2778,434
17155,Putnam,Illinois,1767,1147
17003,Alexander,Illinois,1496,1262
17153,Pulaski,Illinois,1675,962
17175,Stark,Illinois,1778,751
17059,Gallatin,Illinois,1942,657
17171,Scott,Illinois,1966,535
17013,Calhoun,Illinois,1721,739
17009,Brown,Illinois,1796,476
17069,Hardin,Illinois,1653,420
17151,Pope,Illinois,1678,375
18097,Marion,Indiana,130360,212899
18089,Lake,Indiana,75625,116935
18057,Hamilton,Indiana,87404,57263
18003,Allen,Indiana,83930,55382
18141,St. Joseph,Indiana,52021,52252
18127,Porter,Indiana,38832,33676
18063,Hendricks,Indiana,48337,22600
18163,Vanderburgh,Indiana,40496,28530
18081,Johnson,Indiana,45456,17318
18039,Elkhart,Indiana,41867,20740
18157,Tippecanoe,Indiana,30768,27282
18105,Monroe,Indiana,20592,34216
18095,Madison,Indiana,32376,18595
18019,Clark,Indiana,30035,18808
18091,LaPorte,Indiana,22687,19798
18035,Delaware,Indiana,24263,18153
18167,Vigo,Indiana,21937,15931
18043,Floyd,Indiana,21432,13945
18067,Howard,Indiana,23675,11215
18059,Hancock,Indiana,25074,8904
18005,Bartholomew,Indiana,20640,9841
18011,Boone,Indiana,19654,10181
18085,Kosciusko,Indiana,23935,6313
18109,Morgan,Indiana,23674,6040
18173,Warrick,Indiana,19113,9086
18177,Wayne,Indiana,16028,8322
18053,Grant,Indiana,17008,7010
18029,Dearborn,Indiana,18113,4883
18065,Henry,Indiana,13895,5124
18037,Dubois,Indiana,13365,5389
18093,Lawrence,Indiana,14035,4210
18061,Harrison,Indiana,12943,4783
18099,Marshall,Indiana,12288,4798
18145,Shelby,Indiana,12718,4247
18071,Jackson,Indiana,12859,3843
18113,Noble,Indiana,12198,3904
18033,DeKalb,Indiana,12054,3942
18069,Huntington,Indiana,11649,3506
18183,Whitley,Indiana,11358,3379
18083,Knox,Indiana,11077,3772
18051,Gibson,Indiana,11081,3721
18107,Montgomery,Indiana,11059,3362
18133,Putnam,Indiana,10637,3356
18151,Steuben,Indiana,10133,3744
18017,Cass,Indiana,9701,3759
18055,Greene,Indiana,10277,2929
18077,Jefferson,Indiana,8546,4326
18169,Wabash,Indiana,9821,3018
18103,Miami,Indiana,9975,2766
18073,Jasper,Indiana,9382,3329
18179,Wells,Indiana,10005,2586
18001,Adams,Indiana,9648,2805
18137,Ripley,Indiana,9806,2471
18129,Posey,Indiana,8404,3521
18023,Clinton,Indiana,8531,2819
18175,Washington,Indiana,8209,2636
18021,Clay,Indiana,8531,2306
18031,Decatur,Indiana,8490,2121
18079,Jennings,Indiana,8224,2364
18047,Franklin,Indiana,8669,1969
18027,Daviess,Indiana,8545,1800
18135,Randolph,Indiana,7517,2446
18181,White,Indiana,6893,2590
18147,Spencer,Indiana,6572,2861
18087,LaGrange,Indiana,7025,2080
18041,Fayette,Indiana,6839,2252
18149,Starke,Indiana,6367,2489
18143,Scott,Indiana,6074,2642
18015,Carroll,Indiana,6273,1892
18153,Sullivan,Indiana,6138,2113
18119,Owen,Indiana,6153,1946
18049,Fulton,Indiana,6010,1960
18117,Orange,Indiana,5803,2048
18123,Perry,Indiana,4556,3062
18075,Jay,Indiana,5697,1889
18013,Brown,Indiana,5016,2518
18045,Fountain,Indiana,5662,1476
18159,Tipton,Indiana,5589,1587
18139,Rush,Indiana,5292,1525
18165,Vermillion,Indiana,4513,2081
